y# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
haiyuanzhongqu	海渊终曲	zh-CN	
liaoliaobang	聊聊棒	zh-CN	
langyingkuojian	浪影阔剑	zh-CN	
lieyangzhisi	烈阳之嗣	zh-CN	
jingmizhiqu	静谧之曲	zh-CN	
chunshuiliuhua	纯水流华	zh-CN	
yisiyulong	遗祀玉珑	zh-CN	
xiawanchangge	峡湾长歌	zh-CN	
gongyidechoubao	公义的酬报	zh-CN	
huanchuanzhihui	鹮穿之喙	zh-CN	
shitiezhihua	饰铁之花	zh-CN	
donghuafangshiyu	东花坊时雨	zh-CN	
xifusideyueguang	西福斯的月光	zh-CN	
mahailadeshise	玛海菈的水色	zh-CN	
liulangdewanxing	流浪的晚星	zh-CN	
fengxinzhifeng	风信之锋	zh-CN	
yuanmudao	原木刀	zh-CN	
senlinwangqi	森林王器	zh-CN	
wangxiajinsi	王下近侍	zh-CN	
jieze	竭泽	zh-CN	
yingmanzhishi	盈满之实	zh-CN	
guanyueshi	贯月矢	zh-CN	
longdiaopingyixin	笼钓瓶一心	zh-CN	
luoxia	落霞	zh-CN	
zhengshizhimingtong	证誓之明瞳	zh-CN	
chenshazhifangchui	辰砂之纺锤	zh-CN	
ewangwan	恶王丸	zh-CN	
mengyunzhiyue	曚云之月	zh-CN	
duanlangchangqi	断浪长鳍	zh-CN	
xianzhuhaihuang	衔珠海皇	zh-CN	
lveshizhe	掠食者	zh-CN	
yuhuo	「渔获」	zh-CN	
tianmuyingdadao	天目影打刀	zh-CN	
guimuzhanchangzheng	桂木斩长正	zh-CN	
pomozhigong	破魔之弓	zh-CN	
baichenzhihuan	白辰之环	zh-CN	
xiduoyuanshiwenzi	喜多院十文字	zh-CN	
youyehuaerzi	幽夜华尔兹	zh-CN	
dudukegushiji	嘟嘟可故事集	zh-CN	
anxiangshanguang	暗巷闪光	zh-CN	
anxianglieshou	暗巷猎手	zh-CN	
fenghuazhisong	风花之颂	zh-CN	
anxiangdejiuyushi	暗巷的酒与诗	zh-CN	
qianyangujian	千岩古剑	zh-CN	
qianyanchangqiang	千岩长枪	zh-CN	
fuzhizhijian	腐殖之剑	zh-CN	
xuezangdexingyin	雪葬的星银	zh-CN	
rendongzhiguo	忍冬之果	zh-CN	
longjichangqiang	龙脊长枪	zh-CN	
xialilongyin	匣里龙吟	zh-CN	
tiefengci	铁蜂刺	zh-CN	
jilijian	祭礼剑	zh-CN	
heiyanchangjian	黑岩长剑	zh-CN	
zongshichangjian	宗室长剑	zh-CN	
dijian	笛剑	zh-CN	
shizuozhanyan	试作斩岩	zh-CN	
jianglinzhijian	降临之剑	zh-CN	
heijian	黑剑	zh-CN	
xifengjian	西风剑	zh-CN	
yucai	雨裁	zh-CN	
zhongjian	钟剑	zh-CN	
chigujian	螭骨剑	zh-CN	
jilidajian	祭礼大剑	zh-CN	
heiyanzhandao	黑岩斩刀	zh-CN	
zongshidajian	宗室大剑	zh-CN	
baiyingjian	白影剑	zh-CN	
xifengdajian	西风大剑	zh-CN	
shizuoguhua	试作古华	zh-CN	
jiligong	祭礼弓	zh-CN	
juexian	绝弦	zh-CN	
heiyanzhangong	黑岩战弓	zh-CN	
shizuodanyue	试作澹月	zh-CN	
zongshichanggong	宗室长弓	zh-CN	
ganglungong	钢轮弓	zh-CN	
cangcuiliegong	苍翠猎弓	zh-CN	
gongcang	弓藏	zh-CN	
xifengliegong	西风猎弓	zh-CN	
liulangyuezhang	流浪乐章	zh-CN	
wanguozhuhaitupu	万国诸海图谱	zh-CN	
jilicanchang	祭礼残章	zh-CN	
xialiriyue	匣里日月	zh-CN	
heiyanfeiyu	黑岩绯玉	zh-CN	
zongshimifalu	宗室秘法录	zh-CN	
shizuojinpo	试作金珀	zh-CN	
xifengmidian	西风秘典	zh-CN	
zhaoxin	昭心	zh-CN	
xialimiechen	匣里灭辰	zh-CN	
heiyancichang	黑岩刺枪	zh-CN	
juedouzhiqiang	决斗之枪	zh-CN	
zongshilieqiang	宗室猎枪	zh-CN	
shizuoxinglian	试作星镰	zh-CN	
xifengchangqiang	西风长枪	zh-CN	
liuyuezhen	流月针	zh-CN	
lengren	冷刃	zh-CN	
antiejian	暗铁剑	zh-CN	
feitianyujian	飞天御剑	zh-CN	
limingshenjian	黎明神剑	zh-CN	
luxingjian	旅行剑	zh-CN	
chihuyudao	吃虎鱼刀	zh-CN	
muyulongxuedejian	沐浴龙血的剑	zh-CN	
baitiedajian	白铁大剑	zh-CN	
feitandayujian	飞天大御剑	zh-CN	
tieyingkuojian	铁影阔剑	zh-CN	
yilifuren	以理服人	zh-CN	
yayugong	鸦羽弓	zh-CN	
shensheshouzhishi	神射手之誓	zh-CN	
dangong	弹弓	zh-CN	
fanqugong	反曲弓	zh-CN	
xinshi	信使	zh-CN	
mdaoxulun	魔导绪论	zh-CN	
feiyufaqiu	翡玉法球	zh-CN	
taolongyingjietan	讨龙英杰谭	zh-CN	
jiajibaojue	甲级宝珏	zh-CN	
yishijiexingji	异世界行记	zh-CN	
heiyingqiang	黑缨枪	zh-CN	
baiyingqiang	白缨枪	zh-CN	
yuemao	钺矛	zh-CN	
yinjian	银剑	zh-CN	
yongbingzhongjian	佣兵重剑	zh-CN	
lilandeliegong	历练的猎弓	zh-CN	
koudaimodaoshu	口袋魔导书	zh-CN	
tiejianqiang	铁尖枪	zh-CN	
wufengjian	无锋剑	zh-CN	
xunliandajian	训练大剑	zh-CN	
liegong	猎弓	zh-CN	
xuetubiji	学徒笔记	zh-CN	
xinshouchangqiang	新手长枪	zh-CN	
