# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
guanjia	托马	zh-CN	
jiutiaoshaluo	九条裟罗	zh-CN	
jiutiao	九条裟罗	zh-CN	
wulang	五郎	zh-CN	
gouge	五郎	zh-CN	
shanhugongxinhai	珊瑚宫心海	zh-CN	
xinhai	珊瑚宫心海	zh-CN	
xinghai	珊瑚宫心海	zh-CN	
huanlongyidou	荒泷一斗	zh-CN	
yidou	荒泷一斗	zh-CN	
guizi	荒泷一斗	zh-CN	
jiuqiren	久岐忍	zh-CN	
ak	久岐忍	zh-CN	
luyeyuanpingcang	鹿野院平藏	zh-CN	
pingcang	鹿野院平藏	zh-CN	
xiaozhengtan	鹿野院平藏	zh-CN	
qiliangliang	绮良良	zh-CN	
maonv	绮良良	zh-CN	
kesai	绮良良	zh-CN	
naxida	纳西妲	zh-CN	
caoshen	纳西妲	zh-CN	
shencao	纳西妲	zh-CN	
tinali	提纳里	zh-CN	
tina	提纳里	zh-CN	
erha	提纳里	zh-CN	
sainuo	赛诺	zh-CN	
da	赛诺	zh-CN	
fengji	赛诺	zh-CN	
aierhaisen	艾尔海森	zh-CN	
shuji	艾尔海森	zh-CN	
kawei	卡维	zh-CN	
jianzhushi	卡维	zh-CN	
falushan	珐露珊	zh-CN	
qianbei	珐露珊	zh-CN	
luyila	莱依拉	zh-CN	
kun	莱依拉	zh-CN	
dixiya	迪希雅	zh-CN	
jiej	迪希雅	zh-CN	
kelai	柯莱	zh-CN	
cao	柯莱	zh-CN	
duoli	多莉	zh-CN	
shangren	多莉	zh-CN	
kandisi	坎蒂丝	zh-CN	
shundi	坎蒂丝	zh-CN	
naweilate	那维莱特	zh-CN	
shuizh	那维莱特	zh-CN	
dalao	那维莱特	zh-CN	
laiousili	莱欧斯利	zh-CN	
quanzh	莱欧斯利	zh-CN	
yuehan	莱欧斯利	zh-CN	
funingna	芙宁娜	zh-CN	
shuishen	芙宁娜	zh-CN	
funv	芙宁娜	zh-CN	
xialuodi	夏洛蒂	zh-CN	
jizhe	夏洛蒂	zh-CN	
linni	林尼	zh-CN	
mosh	林尼	zh-CN	
linnite	琳妮特	zh-CN	
mei	琳妮特	zh-CN	
feimini	菲米尼	zh-CN	
qianshui	菲米尼	zh-CN	
naweiya	娜维娅	zh-CN	
yanzh	娜维娅	zh-CN	
xiaojie	娜维娅	zh-CN	
keluolinde	克洛琳德	zh-CN	
leiji	克洛琳德	zh-CN	
xigewen	希格雯	zh-CN	
hushi	希格雯	zh-CN	
kong	空	zh-CN	
ying	荧	zh-CN	
zhujue	主角	zh-CN	
lv	旅行者	zh-CN	
yin	旅行者	zh-CN	
shenhe	申鹤	zh-CN	
liusan	申鹤	zh-CN	
xianjia	申鹤	zh-CN	
yunjin	云堇	zh-CN	
xiqu	云堇	zh-CN	
yeyelan	夜兰	zh-CN	
lanjie	夜兰	zh-CN	
yaoyao	瑶瑶	zh-CN	
tu	瑶瑶	zh-CN	
mika	米卡	zh-CN	
cehui	米卡	zh-CN	
xinyan	辛焱	zh-CN	
huoya	辛焱	zh-CN	
leize	雷泽	zh-CN	
lang	雷泽	zh-CN	
yao	瑶瑶	zh-CN	
lumi	流浪者	zh-CN	
sanzi	流浪者	zh-CN	
guofu	流浪者	zh-CN	
aerhai	艾尔海森	zh-CN	
shuji	艾尔海森	zh-CN	
moxina	莫娜	zh-CN	
shuizh	莫娜	zh-CN	
qiqi	七七	zh-CN	
jiangshi	七七	zh-CN	
xiaogong	宵宫	zh-CN	
huohua	宵宫	zh-CN	
wanye	万叶	zh-CN	
fengyuan	枫原万叶	zh-CN	
tianye	枫原万叶	zh-CN	
dianjun	雷电将军	zh-CN	
yings	雷电将军	zh-CN	
leishen	雷电将军	zh-CN	
shenzi	神子	zh-CN	
hugong	八重神子	zh-CN	
linghua	绫华	zh-CN	
shenli	神里绫华	zh-CN	
baishen	白鹭公主	zh-CN	
lingren	绫人	zh-CN	
shenlilingren	神里绫人	zh-CN	
shezhang	社奉行	zh-CN	
yula	优菈	zh-CN	
langjian	浪花骑士	zh-CN	
jiejie	优菈姐姐	zh-CN	
abidu	阿贝多	zh-CN	
hua	白垩之子	zh-CN	
kan	阿贝多	zh-CN	
ganyu	甘雨	zh-CN	
qilin	麒麟	zh-CN	
bangban	椰羊	zh-CN	
hutao	胡桃	zh-CN	
tangzh	堂主	zh-CN	
huli	胡桃	zh-CN	
zhongyun	重云	zh-CN	
bingwu	冰雾	zh-CN	
chushi	重云	zh-CN	
beidou	北斗	zh-CN	
haozhe	豪斩	zh-CN	
dajie	大姐头	zh-CN	
luoshaliya	罗莎莉亚	zh-CN	
xiunv	修女	zh-CN	
yanfei	烟绯	zh-CN	
lvshi	律师	zh-CN	
huafa	烟绯	zh-CN	
dianna	迪奥娜	zh-CN	
maoj	猫耳	zh-CN	
maoniang	猫娘	zh-CN	
kafei	迪奥娜	zh-CN	
shatang	砂糖	zh-CN	
yanjiuyuan	研究员	zh-CN	
tai	砂糖	zh-CN	
zaoyou	早柚	zh-CN	
ninja	忍者	zh-CN	
tuoma	托马	zh-CN	
guanjia	家政官	zh-CN	
jiutiaoshaluo	九条裟罗	zh-CN	
jiutiao	九条	zh-CN	
wulang	五郎	zh-CN	
gouge	狗哥	zh-CN	
shanhugongxinhai	珊瑚宫心海	zh-CN	
xinhai	心海	zh-CN	
xinghai	星海	zh-CN	
huanlongyidou	荒泷一斗	zh-CN	
yidou	一斗	zh-CN	
guizi	鬼族	zh-CN	
jiuqiren	久岐忍	zh-CN	
ak	阿忍	zh-CN	
luyeyuanpingcang	鹿野院平藏	zh-CN	
pingcang	平藏	zh-CN	
xiaozhengtan	侦探	zh-CN	
qiliangliang	绮良良	zh-CN	
maonv	猫女	zh-CN	
kesai	快递	zh-CN	
naxida	纳西妲	zh-CN	
caoshen	草神	zh-CN	
shencao	神草	zh-CN	
tinali	提纳里	zh-CN	
tina	提纳里	zh-CN	
erha	二哈	zh-CN	
sainuo	赛诺	zh-CN	
da	大风纪官	zh-CN	
fengji	风纪	zh-CN	
aierhaisen	艾尔海森	zh-CN	
shuji	书记官	zh-CN	
shu	艾尔海森	zh-CN	
kawei	卡维	zh-CN	
jianzhushi	建筑师	zh-CN	
falushan	珐露珊	zh-CN	
qianbei	前辈	zh-CN	
luyila	莱依拉	zh-CN	
kun	困	zh-CN	
xing	莱依拉	zh-CN	
dixiya	迪希雅	zh-CN	
jiej	迪希雅	zh-CN	
shizi	迪希雅	zh-CN	
kelai	柯莱	zh-CN	
cao	草	zh-CN	
duoli	多莉	zh-CN	
shangren	商人	zh-CN	
kandisi	坎蒂丝	zh-CN	
shundi	盾	zh-CN	
naweilate	那维莱特	zh-CN	
shuizh	水獭	zh-CN	
dalao	大审判官	zh-CN	
laiousili	莱欧斯利	zh-CN	
quanzh	拳击手	zh-CN	
yuehan	典狱长	zh-CN	
funingna	芙宁娜	zh-CN	
shuishen	水神	zh-CN	
funv	芙芙	zh-CN	
xialuodi	夏洛蒂	zh-CN	
jizhe	记者	zh-CN	
linni	林尼	zh-CN	
mosh	魔术师	zh-CN	
linnite	琳妮特	zh-CN	
mei	妹妹	zh-CN	
feimini	菲米尼	zh-CN	
qianshui	潜水员	zh-CN	
naweiya	娜维娅	zh-CN	
yanzh	岩系	zh-CN	
xiaojie	大小姐	zh-CN	
keluolinde	克洛琳德	zh-CN	
leiji	雷系	zh-CN	
xigewen	希格雯	zh-CN	
hushi   护士  zh-CN
