# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
youguxianyindehuiying	悠古弦音的回响	zh-CN	
chunshengludizhencui	纯圣露滴的真粹	zh-CN	
wugouzhihaidejinbei	无垢之海的金杯	zh-CN	
wuguangsixian	无光丝线	zh-CN	
wuguangwoyan	无光涡眼	zh-CN	
wuguangzhikuai	无光质块	zh-CN	
foudingcaiduan	否定裁断	zh-CN	
canhuodengzhu	残火灯烛	zh-CN	
sizhizhiyu	丝织之羽	zh-CN	
zhanyangshengzhudeshenmian	谵妄圣主的神面	zh-CN	
gongjichixinderongying	贡祭炽心的荣膺	zh-CN	
xingyuhuodejishi	星与火的基石	zh-CN	
shenhemiyandeshishi	神合秘烟的启示	zh-CN	
shimiedelinyu	蚀灭的鳞羽	zh-CN	
shimiedeyangyan	蚀灭的阳焰	zh-CN	
shimiedelingxi	蚀灭的灵犀	zh-CN	
shengyangyangbenwangzu	升扬样本·王族	zh-CN	
shengyangyangbenqishi	升扬样本·骑士	zh-CN	
shengyangyangbenzhanche	升扬样本·战车	zh-CN	
qiaoqiaomiqidezhenyuan	奇巧秘器的真愿	zh-CN	
changyesuihuodeliehui	长夜燧火的烈辉	zh-CN	
zhongbeiyisidehuangyi	终北遗嗣的煌熠	zh-CN	
dayingxiongdejingyan	大英雄的经验	zh-CN	
ziyoudezhexue	「自由」的哲学	zh-CN	
kangzhengdezhexue	「抗争」的哲学	zh-CN	
shiwendezhexue	「诗文」的哲学	zh-CN	
fanrongdezhexue	「繁荣」的哲学	zh-CN	
qinlaodezhexue	「勤劳」的哲学	zh-CN	
huangjindezhexue	「黄金」的哲学	zh-CN	
jingshuizhixin	净水之心	zh-CN	
changranhuozhong	常燃火种	zh-CN	
jihanzhihe	极寒之核	zh-CN	
leiguanglingjing	雷光棱镜	zh-CN	
jufengzhizhong	飓风之种	zh-CN	
xuanyanzhita	玄岩之塔	zh-CN	
heijinghaojiao	黑晶号角	zh-CN	
dimiaidexinya	地脉的新芽	zh-CN	
hundunluxin	混沌炉心	zh-CN	
wuxudengxin	雾虚灯芯	zh-CN	
duchachangjidao	督察长祭刀	zh-CN	
shiyadoushideliaokao	狮牙斗士的镣铐	zh-CN	
gaotaguwangdeduanpian	高塔孤王的断片	zh-CN	
qiheiyuntiedeyijiao	漆黑陨铁的一角	zh-CN	
guyunhanlindeshenghai	孤云寒林的圣骸	zh-CN	
wuhaiyunjiandejindan	雾海云间的金丹	zh-CN	
linfengbenlangdeduanya	凛风奔狼的断牙	zh-CN	
beiludanshoujianyuanpei	北陆单手剑原胚	zh-CN	
beilushuangshoujianyuanpei	北陆双手剑原胚	zh-CN	
beilugongyuanpei	北陆弓原胚	zh-CN	
beilufaqiyuanpei	北陆法器原胚	zh-CN	
beiluchangbingwuqiyuanpei	北陆长柄武器原胚	zh-CN	
shihuadegupian	石化的骨片	zh-CN	
fuzhilongsui	腐殖龙髓	zh-CN	
weishuzhiyu	未熟之玉	zh-CN	
xiaodeng	霄灯	zh-CN	
kandejiandefeng	「看得见的风」	zh-CN	
jingningzhihua	晶凝之华	zh-CN	
tongzhendeduanpian	「童真的断篇」	zh-CN	
mououjixin	魔偶机心	zh-CN	
hundunzhenyan	混沌真眼	zh-CN	
pianguanglingjing	偏光棱镜	zh-CN	
hengchangjiguanzhixin	恒常机关之心	zh-CN	
fengyadezhexue	「风雅」的哲学	zh-CN	
fushidezhexue	「浮世」的哲学	zh-CN	
tianguangdezhexue	「天光」的哲学	zh-CN	
yuanhaiyidideqiongzhi	远海夷地的琼枝	zh-CN	
mingshenyulingdeqinai	鸣神御灵的亲爱	zh-CN	
jinxijuihuazhiyijiao	今昔剧画之一角	zh-CN	
yinranzhizhu	阴燃之珠	zh-CN	
leitingzhushu	雷霆数珠	zh-CN	
paiyizhilu	排异之露	zh-CN	
chisujiushang	赤穗酒枡	zh-CN	
haihuangxiangzhi	海皇香脂	zh-CN	
yinshouguizhua	隐兽鬼爪	zh-CN	
shoujingwangqi	兽境王器	zh-CN	
rongmei	「溶媒」	zh-CN	
longsiweigi	龙嗣伪鳍	zh-CN	
mingmuzhiyougao	明目之油膏	zh-CN	
yousuikexiang	幽邃刻像	zh-CN	
fuwenzhichi	符纹之齿	zh-CN	
xiasebaozhu	霞色宝珠	zh-CN	
shengzhangbifeikuai	生长碧翡块	zh-CN	
duxingdezhexue	「笃行」的哲学	zh-CN	
zhengyandezhexue	「诤言」的哲学	zh-CN	
qiaosidezhexue	「巧思」的哲学	zh-CN	
zhuozhuangjunhe	茁壮菌核	zh-CN	
hundunmaoshuan	混沌锚栓	zh-CN	
milinjuanludevinfu	谧林涓露的银符	zh-CN	
lvzhouhuayuandeaisi	绿洲花园的哀思	zh-CN	
lieriweiquandemengxiang	烈日威权的梦想	zh-CN	
cangleiyeshi	藏雷野实	zh-CN	
xunwanggouhui	蕈王钩喙	zh-CN	
yangludanshoujianyuanpei	央陆单手剑原胚	zh-CN	
yanglushuangshoujianyuanpei	央陆双手剑原胚	zh-CN	
yangluchangbingwuqiyuanpei	央陆长柄武器原胚	zh-CN	
yanglufaqiyuanpei	央陆法器原胚	zh-CN	
yanglugongyuanpei	央陆弓原胚	zh-CN	
yuanhaiyuyou	原海鱼油	zh-CN	
qianfengdecangling	迁风的苍翎	zh-CN	
huiguanglingjing	辉光棱晶	zh-CN	
daoguangsimianti	导光四面体	zh-CN	
yongxujixin	永续机芯	zh-CN	
miezhengcaoman	灭诤草蔓	zh-CN	
ruoxiadegaomo	若狭的藁末	zh-CN	
cangliuiruyu	苍砾蕊羽	zh-CN	
qiewendehengji	锲纹的横脊	zh-CN	
budiaodejuanhua	「不凋的绢华」	zh-CN	
changanyuanhuan	常暗圆环	zh-CN	
manyouzheshengfangzhihua	漫游者的盛放之花	zh-CN	
ninghengzhizhila	凝恒的脂蜡	zh-CN	
qixiefatiaobeijiangpeiliya	奇械发条备件·歌裴莉娅	zh-CN	
dihuangdejueduan	帝皇的决断	zh-CN	
qixiefatiaobeijiankepeiliusi	奇械发条备件·科培琉司	zh-CN	
chushengzhuoshuihuanling	初生的浊水幻灵	zh-CN	
yijieshengminghe	异界生命核	zh-CN	
youguxianyindeleyhang	悠古弦音的乐章	zh-CN	
chunshengludideliquan	纯圣露滴的醴泉	zh-CN	
wugouzhihaideyinbei	无垢之海的银杯	zh-CN	
gongpingdezhexue	「公平」的哲学	zh-CN	
zhengyidezhexue	「正义」的哲学	zh-CN	
zhixudezhexue	「秩序」的哲学	zh-CN	
matengsiwannenghuyangji	马腾斯万能护养剂	zh-CN	
yuanhailinjiao	原海麟角	zh-CN	
tubiangzhuangzhi	「图比昂装置」	zh-CN	
yirendeshishikeke	役人的时时刻刻	zh-CN	
pugongyinshuqian	蒲公英书签	zh-CN	
weinengdachengchaoyuezhishui	未能达成超越之水	zh-CN	
yongxiandeshengbei	涌现的圣杯	zh-CN	
chaojiwudishanliangliangmojing	「超级无敌闪亮亮魔晶」	zh-CN	
ningyunlinjia	凝云鳞甲	zh-CN	
yuanguangqichi	渊光鳍翅	zh-CN	
dadizhiwang	「大地之王」	zh-CN	
weixidejianbing	未熄的剑柄	zh-CN	
jinshexuanlvededuanzhang	金色旋律的断章	zh-CN	
hengyijishu	衡仪机枢	zh-CN	
yintudanshoujianyuanpei	垠土单手剑原胚	zh-CN	
yintushuangshoujianyuanpei	垠土双手剑原胚	zh-CN	
yintufaqiyuanpei	垠土法器原胚	zh-CN	
yintuchangbingwuqiyuanpei	垠土长柄武器原胚	zh-CN	
yintugongyuanpei	垠土弓原胚	zh-CN	
miyuanzhenxin	秘源真芯	zh-CN	
yizhixunyoudetuxiang	意志巡游的符像	zh-CN	
juranndeyouxiangyan	聚燃的游像眼	zh-CN	
ningjingdehaise	「凝静的海色」	zh-CN	
guoshudehuoliuguo	过熟的火榴果	zh-CN	
shouzhusuofuzhiyin	受祝所缚之印	zh-CN	
fenzhengdezhexue	「纷争」的哲学	zh-CN	
juezhuodezhexue	「角逐」的哲学	zh-CN	
fanfandezhexue	「焚燔」的哲学	zh-CN	
gongjichixindejuejue	贡祭炽心的决绝	zh-CN	
zhanyangshengzhuderongguang	谵妄圣主的容光	zh-CN	
shenhemiyandezhengzhao	神合秘烟的征兆	zh-CN	
mikejinwendeyuanhe	秘刻金纹的源核	zh-CN	
fanglingzhisuo	纺灵之梭	zh-CN	
shenxiaochanjiandeingshi	深邃纠缠的凝视	zh-CN	
miguangdequanyezhixin	迷光的蜷叶之心	zh-CN	
mitudehufu	谜土的护符	zh-CN	
zhuoyoudeilinyan	灼幽的磷焰	zh-CN	
longxiangdewuzhine	龙像的无智核	zh-CN	
mingrandelengzhuangke	明燃的棱状壳	zh-CN	
miyuanjiqihou	秘源积气喉	zh-CN	
qianggongxiaotiaogongjuzu	强弓校调工具组	zh-CN	
manxingzhedejingsui	漫行者的晶髓	zh-CN	
yueguangdezhexue	「月光」的哲学	zh-CN	
leyuandezhexue	「乐园」的哲学	zh-CN	
langjidezhexue	「浪迹」的哲学	zh-CN	
shuangyedehuangrong	霜夜的煌荣	zh-CN	
fanguangquwaihai	繁光躯外骸	zh-CN	
jingmixingyuejulichongyamuju	精密型月矩力冲鸭模具	zh-CN	
youwudoukui	幽雾兜盔	zh-CN	
chengguangdelinyu	承光的鳞羽	zh-CN	
jinshexiansi	金色弦丝	zh-CN	
qiaoqiaomiqidejiye	奇巧秘器的继业	zh-CN	
changyesuihuodemingyan	长夜燧火的明焰	zh-CN	
zhongbeiyisidedaoxian	终北遗嗣的祷献	zh-CN	
manguangdehuijiao	漫光的辉角	zh-CN	
minglizhencaizhuoyue	明丽珍材·卓越	zh-CN	
xunhuanshijunyongyuejuhexin	循环式军用月矩核心	zh-CN	
lianxin	练心	zh-CN	
yanyikuhai	魇翼枯骸	zh-CN	
maoxianjiadejingyan	冒险家的经验	zh-CN	
ziyoudezhiyin	「自由」的指引	zh-CN	
kangzhengdezhiyin	「抗争」的指引	zh-CN	
shiwendezhiyin	「诗文」的指引	zh-CN	
fanrongdezhiyin	「繁荣」的指引	zh-CN	
qinlaodezhiyin	「勤劳」的指引	zh-CN	
huangjindezhiyin	「黄金」的指引	zh-CN	
jingduanyongmokuang	精锻用魔矿	zh-CN	
juejinyayin	攫金鸦印	zh-CN	
jinzhouhuijuan	禁咒绘卷	zh-CN	
lizhandejiancu	历战的箭簇	zh-CN	
shilaimuyuanjiang	史莱姆原浆	zh-CN	
heitonghaojiao	黑铜号角	zh-CN	
dimiaidekuye	地脉的枯叶	zh-CN	
hundunhuilu	混沌回路	zh-CN	
wuxucaonang	雾虚草囊	zh-CN	
tegongjidao	特工祭刀	zh-CN	
weiguandehuiji	尉官的徽记	zh-CN	
linfengbenlangdeliechi	凛风奔狼的裂齿	zh-CN	
shiyadoushidetielian	狮牙斗士的铁链	zh-CN	
gaotaguwangdecanyuan	高塔孤王的残垣	zh-CN	
qiheiyuntiedeyipian	漆黑陨铁的一片	zh-CN	
guyunhanlindehuiyan	孤云寒林的辉岩	zh-CN	
wuhaiyunjiandegongdan	雾海云间的汞丹	zh-CN	
jieshidegupian	结实的骨片	zh-CN	
yuansuhuami	原素花蜜	zh-CN	
maoxianyueli	冒险阅历	zh-CN	
buxiangdemianju	不祥的面具	zh-CN	
jixingjingyan	纪行经验	zh-CN	
haoganjingyan	好感经验	zh-CN	
jiaosejingyan	角色经验	zh-CN	
shuangshisuixie	霜噬碎屑	zh-CN	
shuangshijiejing	霜噬结晶	zh-CN	
shengwangjingyanmengde	声望经验·蒙德	zh-CN	
shengwangjingyanliyue	声望经验·璃月	zh-CN	
fushengshipian	浮生石片	zh-CN	
dengzhixianwei	灯纸纤维	zh-CN	
dengxinrongcai	灯芯绒材	zh-CN	
jieqingredu	节庆热度	zh-CN	
mingdaochun	名刀镡	zh-CN	
hundunshuniu	混沌枢纽	zh-CN	
shuijinglingjing	水晶棱镜	zh-CN	
fengyadezhiyin	「风雅」的指引	zh-CN	
fushidezhiyin	「浮世」的指引	zh-CN	
tianguangdezhiyin	「天光」的指引	zh-CN	
yuanhaiyidideyuzhi	远海夷地的玉枝	zh-CN	
mingshenyulingdehuanxi	鸣神御灵的欢喜	zh-CN	
jinxijuihuazhihunie	今昔剧画之虎啮	zh-CN	
fuyoujinghuaihe	浮游晶化核	zh-CN	
zhuyuejiejieqingredu	逐月节节庆热度	zh-CN	
yinshoulihua	隐兽利爪	zh-CN	
shengwangjingyandaoqi	声望经验·稻妻	zh-CN	
yinyekexiang	夤夜刻像	zh-CN	
baonangjingchen	孢囊晶尘	zh-CN	
xiumianjunhe	休眠菌核	zh-CN	
shengzhangbifeiduanpian	生长碧翡断片	zh-CN	
duxingdezhiyin	「笃行」的指引	zh-CN	
zhengyandezhiyin	「诤言」的指引	zh-CN	
qiaosidezhiyin	「巧思」的指引	zh-CN	
hundunmokua	混沌模块	zh-CN	
zhijinhongchou	织金红绸	zh-CN	
milinjuanludetiefu	谧林涓露的铁符	zh-CN	
lvzhouhuayuandeenhui	绿洲花园的恩惠	zh-CN	
lieriweiquandeyuguang	烈日威权的余光	zh-CN	
shengwangjingyanxumi	声望经验·须弥	zh-CN	
hunzhuolengjing	混浊棱晶	zh-CN	
paishoujingyan	牌手经验	zh-CN	
migudehengji	密固的横脊	zh-CN	
herensuozhencangzhihua	何人所珍藏之花	zh-CN	
youlehuiredu	游乐会热度	zh-CN	
zhuoshuiyiju	浊水的一掬	zh-CN	
qixiejixinchilun	奇械机芯齿轮	zh-CN	
yisejiejingshi	异色结晶石	zh-CN	
waishituchu	外世突触	zh-CN	
youguxianyindeduanzhang	悠古弦音的断章	zh-CN	
chunshengludideninghua	纯圣露滴的凝华	zh-CN	
wugouzhihaidejiuzhan	无垢之海的酒盏	zh-CN	
gongpingdezhiyin	「公平」的指引	zh-CN	
zhengyidezhiyin	「正义」的指引	zh-CN	
zhixudezhiyin	「秩序」的指引	zh-CN	
yirendezhishihuaibiao	役人的制式怀表	zh-CN	
shigehuiredu	诗歌会热度	zh-CN	
shengwangjingyanfengdan	声望经验·枫丹	zh-CN	
juxipiaojuan	剧戏票券	zh-CN	
yueseqichi	月色鳍翅	zh-CN	
zijin	资金	zh-CN	
lieduandejianbing	裂断的剑柄	zh-CN	
hongsexunhuijuan	「虹色巡回券」	zh-CN	
fenxijindu	分析进度	zh-CN	
hengxingbazhedeichi	横行霸者的利齿	zh-CN	
longguanwushidejinshao	龙冠武士的金哨	zh-CN	
miyuanjiqiao	秘源机鞘	zh-CN	
yizhimingxidejiou	意志明晰的寄偶	zh-CN	
juranndemingzhong	聚燃的命种	zh-CN	
zhanyangshengzhudeyuai	谵妄圣主的余哀	zh-CN	
guituyueli	归途阅历	zh-CN	
xingcaixusi	形彩思绪	zh-CN	
fenzhengdezhiyin	「纷争」的指引	zh-CN	
juezhuodezhiyin	「角逐」的指引	zh-CN	
fanfandezhiyin	「焚燔」的指引	zh-CN	
gongjichixindechouchu	贡祭炽心的踌躇	zh-CN	
shenhemiyandeyugan	神合秘烟的预感	zh-CN	
qingdianredu	庆典热度	zh-CN	
huoguangdekuoye	惑光的阔叶	zh-CN	
youyizhang	游艺印章	zh-CN	
yunredebeike	蕴热的背壳	zh-CN	
huanlingshi	欢乐零食	zh-CN	
huaxiaredu	绘夏热度	zh-CN	
shuangjuanzhiping	霜镌的执凭	zh-CN	
jingzhijizhou	精制机轴	zh-CN	
yueguangdezhiyin	「月光」的指引	zh-CN	
leyuandezhiyin	「乐园」的指引	zh-CN	
langjidezhiyin	「浪迹」的指引	zh-CN	
shuangyederouhui	霜夜的柔辉	zh-CN	
xiguangyige	稀光遗骼	zh-CN	
youwupianjia	幽雾片甲	zh-CN	
juntuanshiqi	军团士气	zh-CN	
qiaoqiaomiqidemoben	奇巧秘器的模本	zh-CN	
changyesuihuodecanzhao	长夜燧火的残照	zh-CN	
zhongbeiyisidemiwan	终北遗嗣的迷顽	zh-CN	
jiyoujingyan	纪游经验	zh-CN	
minglizhencaiyouyi	明丽珍材·优异	zh-CN	
qiaoquhuoli	巧趣活力	zh-CN	
qiyujingyan	奇域经验	zh-CN	
wanbeijindu	完备进度	zh-CN	
miaosihuoli	妙思活力	zh-CN	
chihunhaoqi	炽魂豪气	zh-CN	
zhenshangjianwen	珍赏见闻	zh-CN	
liulangzhedejingyan	流浪者的经验	zh-CN	
ziyoudejiaodao	「自由」的教导	zh-CN	
kangzhengdejiaodao	「抗争」的教导	zh-CN	
shiwendejiaodao	「诗文」的教导	zh-CN	
fanrongdejiaodao	「繁荣」的教导	zh-CN	
qinlaodejiaodao	「勤劳」的教导	zh-CN	
huangjindejiaodao	「黄金」的教导	zh-CN	
jingduanyongliangkuang	精锻用良矿	zh-CN	
cangyinyayin	藏银鸦印	zh-CN	
fengmohuijuan	封魔绘卷	zh-CN	
ruilidejiancu	锐利的箭簇	zh-CN	
wuhuidemianju	污秽的面具	zh-CN	
shilaimuqin	史莱姆清	zh-CN	
chenzhonghaojiao	沉重号角	zh-CN	
dimiaidejiuzhi	地脉的旧枝	zh-CN	
hundunzhuangzhi	混沌装置	zh-CN	
wuxuhuafen	雾虚花粉	zh-CN	
liebingjidao	猎兵祭刀	zh-CN	
shiguandehuiji	士官的徽记	zh-CN	
linfengbenlangdeshichen	凛风奔狼的始龀	zh-CN	
shiyadoushidejiasuo	狮牙斗士的枷锁	zh-CN	
gaotaguwangdepowa	高塔孤王的破瓦	zh-CN	
qiheiyuntiedeyili	漆黑陨铁的一粒	zh-CN	
guyunhanlindeguangsha	孤云寒林的光砂	zh-CN	
wuhaiyunjiandeqiandan	雾海云间的铅丹	zh-CN	
cuiruodegupian	脆弱的骨片	zh-CN	
weiguanghuami	微光花蜜	zh-CN	
yingdadaochun	影打刀镡	zh-CN	
hundunjiguan	混沌机关	zh-CN	
andanlingjing	黯淡棱镜	zh-CN	
fengyadejiaodao	「风雅」的教导	zh-CN	
fushidejiaodao	「浮世」的教导	zh-CN	
tianguangdejiaodao	「天光」的教导	zh-CN	
yuanhaiyididehuzhi	远海夷地的瑚枝	zh-CN	
mingshenyulingdeminghui	鸣神御灵的明惠	zh-CN	
fuyouyouhe	浮游幽核	zh-CN	
guonianger	果酿饵	zh-CN	
chimier	赤糜饵	zh-CN	
ruchongjiaer	蠕虫假饵	zh-CN	
feiyingjiaer	飞蝇假饵	zh-CN	
yingcaoer	荧草饵	zh-CN	
yinshouzhizhua	隐兽指爪	zh-CN	
huiankexiang	晦暗刻像	zh-CN	
yingguangbaofen	荧光孢粉	zh-CN	
shihuojunhe	失活菌核	zh-CN	
shengzhangbifeisuixie	生长碧翡碎屑	zh-CN	
duxingdejiaodao	「笃行」的教导	zh-CN	
zhengyandejiaodao	「诤言」的教导	zh-CN	
qiaosedejiaodao	「巧思」的教导	zh-CN	
hundunrongqi	混沌容器	zh-CN	
xiangbianhongchou	镶边红绸	zh-CN	
milinjuanludetongfu	谧林涓露的铜符	zh-CN	
lvzhouhuayuandezhuiyi	绿洲花园的追忆	zh-CN	
lieriweiquandecanxiang	烈日威权的残响	zh-CN	
ganluer	甘露饵	zh-CN	
poquelenjing	破缺棱晶	zh-CN	
jinxijuihuazhiewei	今昔剧画之恶尉	zh-CN	
canhuidehengji	残毁的横脊	zh-CN	
laizihechudedefangzhihua	来自何处的待放之花	zh-CN	
zhuoshuiyidi	浊水的一滴	zh-CN	
xijianzhihe	隙间之核	zh-CN	
jiguanzhenchilun	机关正齿轮	zh-CN	
yihaizhikuai	异海之块	zh-CN	
suanjuer	酸桔饵	zh-CN	
weihujiguangpinshanyouer	维护机关频闪诱饵	zh-CN	
youguxianyindecanzhang	悠古弦音的残章	zh-CN	
chunshengludidelvza	纯圣露滴的滤渣	zh-CN	
wugouzhihaidekuzhan	无垢之海的苦盏	zh-CN	
gongpingdejiaodao	「公平」的教导	zh-CN	
zhengyidejiaodao	「正义」的教导	zh-CN	
zhixudejiaodao	「秩序」的教导	zh-CN	
laojiudeyirenhuaibiao	老旧的役人怀表	zh-CN	
yuzhuangqichi	羽状鳍翅	zh-CN	
canhuidejianbing	残毁的剑柄	zh-CN	
laoliandejianchi	老练的坚齿	zh-CN	
zhanshitiedeshao	战士的铁哨	zh-CN	
miyuanzhou	秘源轴	zh-CN	
yizhiposuidecanpian	意志破碎的残片	zh-CN	
juranndeshikuai	聚燃的石块	zh-CN	
zhanyangshengzhudexiubai	谵妄圣主的朽败	zh-CN	
fenzhengdejiaodao	「纷争」的教导	zh-CN	
juezhuodejiaodao	「角逐」的教导	zh-CN	
fanfandejiaodao	「焚燔」的教导	zh-CN	
gongjichixindekonghuang	贡祭炽心的惶恐	zh-CN	
shenhemiyandexusi	神合秘烟的思绪	zh-CN	
zheguangdepeiya	折光的胚芽	zh-CN	
chengjingguolier	澄晶果粒饵	zh-CN	
wenhuoer	温火饵	zh-CN	
lengliekuaikuai	冷裂壳块	zh-CN	
jingzhidezhiping	精致的执凭	zh-CN	
jiagujizhou	加固机轴	zh-CN	
yueguangdejiaodao	「月光」的教导	zh-CN	
leyuandejiaodao	「乐园」的教导	zh-CN	
langjidejiaodao	「浪迹」的教导	zh-CN	
shuangyedecanzhao	霜夜的残照	zh-CN	
shiguangkuaigu	失光块骨	zh-CN	
youwuhuaxing	幽雾化形	zh-CN	
husuoer	槲梭饵	zh-CN	
qingbaier	清白饵	zh-CN	
weihujiguangchaijielingjian	「维护机关」拆解零件	zh-CN	
miyuanjiguangchaijielingjian	「秘源机关」拆解零件	zh-CN	
qiaoqiaomiqidecanjian	奇巧秘器的残件	zh-CN	
changyesuihuodeyujin	长夜燧火的余烬	zh-CN	
zhongbeiyisideairong	终北遗嗣的哀荣	zh-CN	
minglizhencaijingliang	明丽珍材·精良	zh-CN	
shilaimuningye	史莱姆凝液	zh-CN	
tiekuai	铁块	zh-CN	
xinbingdehuiji	新兵的徽记	zh-CN	
jingduanyongzakuang	精锻用杂矿	zh-CN	
xunbaoyayin	寻宝鸦印	zh-CN	
daonenghuijuan	导能绘卷	zh-CN	
laogudejiancu	牢固的箭簇	zh-CN	
posundemianju	破损的面具	zh-CN	
baitiekuai	白铁块	zh-CN	
shuijingkuai	水晶块	zh-CN	
mawei	马尾	zh-CN	
bingwuhuahuaduo	冰雾花花朵	zh-CN	
lieyanhuahuarui	烈焰花花蕊	zh-CN	
dianqishuijing	电气水晶	zh-CN	
hudiechibang	蝴蝶翅膀	zh-CN	
qingwa	青蛙	zh-CN	
faguangsui	发光髓	zh-CN	
xiyiweiba	蜥蜴尾巴	zh-CN	
jinghe	晶核	zh-CN	
pianpianhuami	骗骗花蜜	zh-CN	
xingyinkuangshi	星银矿石	zh-CN	
huamu	桦木	zh-CN	
queshamu	却砂木	zh-CN	
shanmu	杉木	zh-CN	
chuixiangmu	垂香木	zh-CN	
zhujie	竹节	zh-CN	
songmu	松木	zh-CN	
cuihuamu	萃华木	zh-CN	
bupi	布匹	zh-CN	
hongseranliao	红色染料	zh-CN	
huangseranliao	黄色染料	zh-CN	
lanseranliao	蓝色染料	zh-CN	
zijingkuai	紫晶块	zh-CN	
pojiudedaochun	破旧的刀镡	zh-CN	
bohedezhongzi	「薄荷」的种子	zh-CN	
nichanghuadezhongzi	「霓裳花」的种子	zh-CN	
jinyucaodezhongzi	「金鱼草」的种子	zh-CN	
bailuobodezhongzi	「白萝卜」的种子	zh-CN	
tiantianhuadezhongzi	「甜甜花」的种子	zh-CN	
fengchejudezhongzi	「风车菊」的种子	zh-CN	
liulibaihedezhongzi	「琉璃百合」的种子	zh-CN	
luoluomeidezhongzi	「落落莓」的种子	zh-CN	
xiaodengcaodezhongzi	「小灯草」的种子	zh-CN	
maweidezhongzi	「马尾」的种子	zh-CN	
lianpengdezhongzi	「莲蓬」的种子	zh-CN	
duduliandezhongzi	「嘟嘟莲」的种子	zh-CN	
saixiliyahuadezhongzi	「塞西莉亚花」的种子	zh-CN	
qingxindezhongzi	「清心」的种子	zh-CN	
jueyunjiaojiaodezhongzi	「绝云椒椒」的种子	zh-CN	
huluobodezhongzi	「胡萝卜」的种子	zh-CN	
